abortion,68573,0.7085441791958934,0.6515684015574643
adhd,17351,0.3522563541006282,0.46567921157282
aids,24977,0.3636145253633343,0.5340913640549305
alcohol consumption,625,0.4288,0.5024
animal viruses,96,0.7916666666666666,0.6354166666666666
antibiotic,1804,0.7372505543237251,0.6319290465631929
antidepressants,732,0.5819672131147541,0.6489071038251366
anxiety,64627,0.7012394200566326,0.7888189146950965
artificial kidney,2,0.5,0.0
assisted living,6210,0.41594202898550725,0.322061191626409
autoantibodies,32,0.75,0.78125
autoimmune disease,510,0.39019607843137255,0.5450980392156862
bariatric surgery,325,0.16615384615384615,0.28615384615384615
barr virus,18,0.3888888888888889,0.4444444444444444
behavioral therapy,1040,0.6894230769230769,0.24326923076923077
birth,65012,0.7092998215714023,0.7312957607826247
blisters,2408,0.7828073089700996,0.8077242524916943
blood cancer,996,0.2520080321285141,0.5
blood,65853,0.6061379132309842,0.7532079024493948
body temperature,5561,0.6302823233231433,0.8660312893364502
body weight,17693,0.09862657548182897,0.1120782230260555
body,65791,0.3996291286042164,0.5664148591752671
brain injuries,719,0.5994436717663422,0.24895688456189152
brain,44605,0.593543324739379,0.7255464634009641
breast cancer,16654,0.6282574756815179,0.5477963252071575
calories,31664,0.4727766548762001,0.5457301667508843
cancer,65616,0.3695592538405267,0.4477109241648378
cannabis,12635,0.518005540166205,0.4140878512069648
cardiovascular disease,1140,0.525438596491228,0.3175438596491228
caregiver,8339,0.46588319942439144,0.4735579805732102
cells,63466,0.4513440267229698,0.6132259792644881
chest,62758,0.8301093087733835,0.9057809362949744
child health,761,0.5032851511169514,0.2996057818659658
childhood obesity,201,0.39303482587064675,0.25870646766169153
climate anxiety,356,0.6039325842696629,0.6432584269662921
cognitive health,207,0.7777777777777778,0.5507246376811594
coma,22640,0.6421378091872791,0.7670494699646643
congenital syphilis,28,0.25,0.03571428571428571
covid,72463,0.5242951575286698,0.43427680333411534
death,66173,0.665936257990419,0.7405437262932012
dementia,9780,0.5399795501022495,0.25429447852760734
dengue,386,0.6191709844559585,0.43005181347150256
diabetes,71887,0.15911082671414858,0.4240126865775453
dietary guidelines,336,0.7559523809523809,0.43154761904761907
dignified death,11,0.2727272727272727,0.45454545454545453
disease,64515,0.5444935286367512,0.5792451367898939
disorder,19007,0.4968169621718314,0.4961330036302415
dissociation,854,0.6768149882903981,0.819672131147541
doctor,63892,0.489795279534214,0.6064922055969448
doxy-pep,11,1.0,1.0
drug companies,19870,0.5385002516356316,0.43975842979365876
drug,66238,0.49676922612397717,0.5309339050092092
dry skin,5255,0.44319695528068503,0.4483349191246432
endometrial cancer,110,0.5818181818181818,0.35454545454545455
epidemic,33334,0.7027359452810944,0.3509029819403612
epstein-barr virus,18,0.3888888888888889,0.4444444444444444
esophagus,1650,0.6703030303030303,0.3981818181818182
extreme pain,1277,0.7478465152701644,0.7705559906029757
eye care,4363,0.5264726105890443,0.5901902360760944
fascia,2091,0.43567670970827355,0.7039693926351028
fentanyl,6867,0.5305082277559342,0.27552060579583515
fertility,14533,0.7741691323195486,0.7354297116906351
fever,39779,0.4702229819754142,0.5017471530204379
firearm injuries,120,0.5166666666666667,0.3
flu,12823,0.4826483662169539,0.5287374249395618
gene,20232,0.24476077500988533,0.5220937129300118
genetic disease,203,0.4236453201970443,0.32019704433497537
global health,7151,0.5994965739057474,0.35645364284715425
gonorrhea,191,0.17277486910994763,0.5445026178010471
gunshot wound,1378,0.19811320754716982,0.25834542815674894
hair follicle cell,2,0.0,0.5
health economist,66,0.5303030303030303,0.6212121212121212
health equity,4597,0.5644985860343702,0.21688057428757884
health worker,623,0.6131621187800963,0.41252006420545745
hearing loss,4864,0.43832236842105265,0.48355263157894735
heart disease,17842,0.49338639166012777,0.40180473041138887
heart failure,7040,0.26704545454545453,0.7876420454545454
heart,65324,0.6221296919968159,0.7317218786357235
heat exposure,96,0.7083333333333334,0.6666666666666666
hepatitis,1057,0.4247871333964049,0.33112582781456956
hernia,810,0.5679012345679012,0.5617283950617284
high blood pressure,14146,0.4283189594231585,0.6728403789056977
hiv,12108,0.45482325735051204,0.36686488272216716
home health care,851,0.6039952996474736,0.4735605170387779
hospital,64148,0.706272993702064,0.674502712477396
illness,120341,0.6793112904164,0.6677940186636309
immune response,925,0.5891891891891892,0.6151351351351352
immunization,1711,0.3980128579777908,0.4424313267095266
indoor air quality,966,0.593167701863354,0.6997929606625258
infant mortality,975,0.5138461538461538,0.41333333333333333
infection,41863,0.34178152545206986,0.4055848840264673
influenza,1460,0.5061643835616438,0.37876712328767126
injectable drug,3,0.0,0.0
injury,64926,0.7109478483196254,0.7464344022425531
insurance,73425,0.27990466462376573,0.71398025195778
internet addiction,47,0.3404255319148936,0.9361702127659575
ketamine,611,0.20458265139116202,0.6366612111292962
kidney disease,4084,0.2984818805093046,0.2683643486777669
life expectancy,3757,0.6768698429598083,0.5461804631354804
life insurance,20600,0.6092233009708737,0.5554854368932038
listeria,50,0.16,0.2
liver cancer,507,0.44970414201183434,0.4516765285996055
long covid,529,0.43100189035916825,0.4158790170132325
long-term care,7420,0.4696765498652291,0.3070080862533693
lung cancer,3534,0.35427277872099605,0.3030560271646859
major depressive disorder,143,0.23776223776223776,0.23776223776223776
malaria,1843,0.5501899077590885,0.3846988605534455
marijuana,23641,0.5078042383993909,0.4327651114589061
maternal deaths,839,0.4505363528009535,0.5685339690107271
medicaid,64312,0.4022110959074512,0.4862389600696604
medical evacuation,18,0.6111111111111112,0.16666666666666666
medical facilities,1070,0.6327102803738318,0.397196261682243
